model_name,map_index,mean_final_coverage
LiteDARE-L4,40,0.9993431267168279
LiteDARE-L4,41,0.9959755729144188
LiteDARE-L4,42,0.9971960995914592
LiteDARE-L4,43,0.9988371234494979
LiteDARE-L4,44,0.9986389327570443
LiteDARE-L4,45,0.9993967754908054
LiteDARE-L4,46,0.996349505416863
LiteDARE-L4,47,0.996004328643969
LiteDARE-L4,48,0.997832588778678
LiteDARE-L4,49,0.9967005076142132
LiteDARE-L4,50,0.9982262258543834
LiteDARE-L4,51,0.9965199649136188
LiteDARE-L4,52,0.9938365738975727
LiteDARE-L4,53,0.9921015489287782
LiteDARE-L4,54,0.994730807032871
LiteDARE-L4,55,0.9970675321717344
LiteDARE-L4,56,0.9966018787065495
LiteDARE-L4,57,0.9968509067216853
LiteDARE-L4,58,0.9942772277227723
LiteDARE-L4,59,0.9974981619148762
LiteDARE-L4,60,0.9989046653144016
LiteDARE-L4,61,0.9979620871303879
LiteDARE-L4,62,0.9974735366798214
LiteDARE-L4,63,1.0
LiteDARE-L4,64,0.9999271015579438
LiteDARE-L4,65,0.9975300495773443
LiteDARE-L4,66,0.9985064883684127
LiteDARE-L4,67,0.9966387523048557
LiteDARE-L4,68,0.9972191000348825
LiteDARE-L4,69,0.9985864374403056
LiteDARE-L4,70,0.9963288288288289
LiteDARE-L4,71,0.9966483964150804
