descriptor,team_size,method_role_normalised,stratum,metric,n,mean,median
map_obstacle_ratio,6,map_only,low,team_travel_distance_recorded,136,1062.441090061384,992.6393010616302
map_obstacle_ratio,6,map_only,low,team_path_per_robot,136,177.0735150102307,165.4398835102717
map_obstacle_ratio,6,map_only,low,actual_collision_pairs,136,0.9338235294117647,0.0
map_obstacle_ratio,6,map_only,low,collisions_per_robot_pair,136,0.062254901960784315,0.0
map_obstacle_ratio,6,map_only,low,deadlock_duration_robot_steps,136,0.8014705882352942,0.0
map_obstacle_ratio,6,map_only,medium,final_coverage,132,0.9975448962465853,0.9991431095227684
map_obstacle_ratio,6,map_only,medium,coverage_auc,132,0.8057138404643104,0.8140525178413103
map_obstacle_ratio,6,map_only,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,6,map_only,medium,steps_to_95_conditional,132,24.825757575757574,23.0
map_obstacle_ratio,6,map_only,medium,trajectory_overlap_ratio,132,0.3036422272228847,0.3051587301587302
map_obstacle_ratio,6,map_only,medium,team_travel_distance_recorded,132,1061.7720992312286,1023.7037632465364
map_obstacle_ratio,6,map_only,medium,team_path_per_robot,132,176.96201653853814,170.61729387442273
map_obstacle_ratio,6,map_only,medium,actual_collision_pairs,132,1.5757575757575757,0.0
map_obstacle_ratio,6,map_only,medium,collisions_per_robot_pair,132,0.10505050505050506,0.0
map_obstacle_ratio,6,map_only,medium,deadlock_duration_robot_steps,132,1.3409090909090908,0.0
map_obstacle_ratio,6,map_only,high,final_coverage,132,0.9965869720285413,0.9977457008078991
map_obstacle_ratio,6,map_only,high,coverage_auc,132,0.8032972537992604,0.8053835282213254
map_obstacle_ratio,6,map_only,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,6,map_only,high,steps_to_95_conditional,132,22.363636363636363,20.5
map_obstacle_ratio,6,map_only,high,trajectory_overlap_ratio,132,0.3048244780938358,0.3128156565656566
map_obstacle_ratio,6,map_only,high,team_travel_distance_recorded,132,951.5619627562436,882.4295125007629
map_obstacle_ratio,6,map_only,high,team_path_per_robot,132,158.59366045937395,147.07158541679382
map_obstacle_ratio,6,map_only,high,actual_collision_pairs,132,0.8636363636363636,0.0
map_obstacle_ratio,6,map_only,high,collisions_per_robot_pair,132,0.05757575757575758,0.0
map_obstacle_ratio,6,map_only,high,deadlock_duration_robot_steps,132,0.3560606060606061,0.0
map_obstacle_ratio,8,full,low,final_coverage,136,0.9973966989149661,0.9989693143346274
map_obstacle_ratio,8,full,low,coverage_auc,136,0.8360740553696839,0.8410925545050606
map_obstacle_ratio,8,full,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,8,full,low,steps_to_95_conditional,136,11.433823529411764,11.0
map_obstacle_ratio,8,full,low,trajectory_overlap_ratio,136,0.21593978760717278,0.20009157509157505
map_obstacle_ratio,8,full,low,team_travel_distance_recorded,136,914.1876330621102,851.46772813797
map_obstacle_ratio,8,full,low,team_path_per_robot,136,114.27345413276377,106.43346601724625
map_obstacle_ratio,8,full,low,actual_collision_pairs,136,0.0,0.0
map_obstacle_ratio,8,full,low,collisions_per_robot_pair,136,0.0,0.0
map_obstacle_ratio,8,full,low,deadlock_duration_robot_steps,136,0.0,0.0
map_obstacle_ratio,8,full,medium,final_coverage,132,0.9978487358996214,0.9994047953023666
map_obstacle_ratio,8,full,medium,coverage_auc,132,0.8335253417232612,0.8282853694810359
map_obstacle_ratio,8,full,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,8,full,medium,steps_to_95_conditional,132,10.977272727272727,10.0
map_obstacle_ratio,8,full,medium,trajectory_overlap_ratio,132,0.20693754994521038,0.2
map_obstacle_ratio,8,full,medium,team_travel_distance_recorded,132,882.915593103929,823.3124256134033
map_obstacle_ratio,8,full,medium,team_path_per_robot,132,110.36444913799113,102.91405320167542
map_obstacle_ratio,8,full,medium,actual_collision_pairs,132,0.0,0.0
map_obstacle_ratio,8,full,medium,collisions_per_robot_pair,132,0.0,0.0
map_obstacle_ratio,8,full,medium,deadlock_duration_robot_steps,132,0.0,0.0
map_obstacle_ratio,8,full,high,final_coverage,132,0.9968768817730254,0.997876683008138
