descriptor,team_size,communication_mode,stratum,metric,n,mean,median
map_obstacle_ratio,4,raw,high,map_payload_kib_per_robot,132,452.6815888375947,324.373291015625
map_obstacle_ratio,4,raw,high,communication_packets_recorded,132,59.29545454545455,46.5
map_obstacle_ratio,4,raw,high,packets_per_robot,132,14.823863636363637,11.625
map_obstacle_ratio,4,raw,high,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,4,raw,high,retransmission_rate,131,0.0,0.0
map_obstacle_ratio,6,compressed,low,final_coverage,136,0.9976090475670392,0.9988731275579563
map_obstacle_ratio,6,compressed,low,coverage_auc,136,0.8008937442695213,0.8053303444422812
map_obstacle_ratio,6,compressed,low,mean_robot_map_free_iou,136,0.6653245487261663,0.6891239395734579
map_obstacle_ratio,6,compressed,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,6,compressed,low,steps_to_95_conditional,136,15.551470588235293,14.0
map_obstacle_ratio,6,compressed,low,map_payload_kib,136,898.7232450597427,790.8193359375
map_obstacle_ratio,6,compressed,low,map_payload_kib_per_robot,136,149.78720750995708,131.80322265625
map_obstacle_ratio,6,compressed,low,communication_packets_recorded,136,102.04411764705883,79.5
map_obstacle_ratio,6,compressed,low,packets_per_robot,136,17.00735294117647,13.25
map_obstacle_ratio,6,compressed,low,map_retransmission_packets,112,0.0,0.0
map_obstacle_ratio,6,compressed,low,retransmission_rate,111,0.0,0.0
map_obstacle_ratio,6,compressed,medium,final_coverage,132,0.9975509273295424,0.9990355441928302
map_obstacle_ratio,6,compressed,medium,coverage_auc,132,0.8001806546840502,0.8004595964414868
map_obstacle_ratio,6,compressed,medium,mean_robot_map_free_iou,132,0.6880186241012582,0.7185270359571782
map_obstacle_ratio,6,compressed,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,6,compressed,medium,steps_to_95_conditional,132,15.621212121212121,14.5
map_obstacle_ratio,6,compressed,medium,map_payload_kib,132,889.7899058948864,794.7294921875
map_obstacle_ratio,6,compressed,medium,map_payload_kib_per_robot,132,148.29831764914772,132.45491536458331
map_obstacle_ratio,6,compressed,medium,communication_packets_recorded,132,102.68181818181819,89.0
map_obstacle_ratio,6,compressed,medium,packets_per_robot,132,17.113636363636363,14.833333333333332
map_obstacle_ratio,6,compressed,medium,map_retransmission_packets,104,0.0,0.0
map_obstacle_ratio,6,compressed,medium,retransmission_rate,104,0.0,0.0
map_obstacle_ratio,6,compressed,high,final_coverage,132,0.996888071195065,0.9978050885651949
map_obstacle_ratio,6,compressed,high,coverage_auc,132,0.8012540668235223,0.8009777531228579
map_obstacle_ratio,6,compressed,high,mean_robot_map_free_iou,132,0.6313878614116718,0.6383895393626555
map_obstacle_ratio,6,compressed,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,6,compressed,high,steps_to_95_conditional,132,13.931818181818182,14.0
map_obstacle_ratio,6,compressed,high,map_payload_kib,132,701.3504305752841,574.740234375
map_obstacle_ratio,6,compressed,high,map_payload_kib_per_robot,132,116.89173842921402,95.7900390625
